"","National Savings & Investments - Prize winners October 2021","","","","","",""
"","","","","","","",""
"","Prize Value","Winning Bond NO.","","Total V of Holding","Area","Val of Bond","Dt of Pur"
"","5000.0","280ER833160","","50000.0","Hertfordshire","10000.0","42612.0"
"","5000.0","305PD411327","","50000.0","Bromley","17000.0","42916.0"
"","5000.0","17FQ952383","","47341.0","Dorset","5000.0","37865.0"
"","5000.0","324PM891480","","50000.0","Cheshire West and Chester","45450.0","43158.0"
"","5000.0","271VR525771","","50000.0","Hereford and Worcester","20000.0","42485.0"
"","5000.0","318PZ223624","","50000.0","Essex","10000.0","43085.0"
"","5000.0","444ZB118106","","30000.0","Sefton","13000.0","44274.0"
"","5000.0","346EA159417","","20100.0","Bedfordshire","5000.0","43433.0"
"","5000.0","398XF713254","","50000.0","Birmingham","50000.0","44000.0"
"","5000.0","168YM930120","","30000.0","Essex","5000.0","40330.0"
"","5000.0","389DN299258","","19266.0","Hereford and Worcester","10000.0","43933.0"
"","5000.0","189HZ365697","","50000.0","Kent","1000.0","40939.0"
"","5000.0","467NM310955","","16000.0","Derbyshire","11000.0","44427.0"
"","5000.0","137ED829881","","40000.0","Nottingham","5000.0","39526.0"
"","5000.0","445BV195207","","40550.0","Northern Ireland","20000.0","44275.0"
"","5000.0","427GP018576","","50000.0","Leicestershire","20000.0","44176.0"
"","5000.0","357XG628354","","20000.0","Cornwall","10000.0","43578.0"
"","5000.0","78EN601668","","34000.0","Kent","1000.0","35674.0"
"","5000.0","276QH260020","","29000.0","Buckinghamshire","29000.0","42563.0"
"","5000.0","355AQ962514","","50000.0","Norfolk","5000.0","43543.0"
"","5000.0","214ED143328","","15005.0","Somerset","15000.0","41594.0"
"","5000.0","295EP908942","","49500.0","Hampshire and Isle of Wight","49500.0","42776.0"
"","5000.0","366HD460811","","17016.0","Inner London","16666.0","43683.0"
"","5000.0","421NS753783","","14600.0","Inner London","1750.0","44145.0"
"","5000.0","410RN925947","","50000.0","West Sussex","20000.0","44072.0"
"","5000.0","226FM601653","","2251.0","Devon","1000.0","41827.0"
"","5000.0","381NA387996","","50000.0","Nottingham","10000.0","43858.0"
"","5000.0","311DF367113","","30000.0","Northumberland","20000.0","42991.0"
"","5000.0","133TS458226","","50000.0","Suffolk","5000.0","39408.0"
"","5000.0","96NF961489","","30010.0","Somerset","5000.0","35977.0"
"","5000.0","453XW881878","","9000.0","Plymouth","9000.0","44325.0"
"","5000.0","452ED348688","","10050.0","Suffolk","10000.0","44315.0"
"","5000.0","454PB223711","","40000.0","Ealing","20000.0","44330.0"
"","5000.0","76WG989121","","20108.0","Cambridgeshire","5000.0","37500.0"
"","5000.0","463FL507654","","50000.0","Hereford and Worcester","15000.0","44392.0"
"","5000.0","366HH251827","","2775.0","Durham","2275.0","43683.0"
